RA,Turma,Nome,Ano_Nascimento,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra,INDE,Cg,Cf,Ct,Numero_Avaliacoes,Rec Av1,Rec Av2,Rec Av3,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Indicado,Atingiu PV,IPV,IAN,Defasagem,Destaque IEG,Destaque IDA,Destaque IPV,Ano_Coleta_Dados
RA-117,B,Aluno-117,2007,15,Menina,2022,Escola Pública,Ágata,"6,685","593,000",55,10,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"7,9","6,3","6,9",Requer avaliação,"6,1",Não,Não,"7,417","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-118,B,Aluno-118,2008,14,Menina,2021,Escola Pública,Quartzo,"5,597","775,000",70,12,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"0,0","5,3","6,3",Sem limitações,"3,9",Não,Não,"6,958","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-119,B,Aluno-119,2008,14,Menina,2016,Rede Decisão,Ametista,"7,501","311,000",26,3,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","8,2","5,6",Requer avaliação,"5,4",Não,Não,"7,875","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-120,B,Aluno-120,2007,15,Menino,2019,Escola Pública,Ágata,"6,825","547,000",48,9,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","5,9","7,5",Não atendido,"6,2",Sim,Não,"7,667","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-121,B,Aluno-121,2006,16,Menina,2021,Escola Pública,Ametista,"7,245","413,000",33,5,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,1","8,4","6,3",Sem limitações,"7,2",Sim,Não,"7,625","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-122,B,Aluno-122,2008,14,Menina,2019,Escola Pública,Quartzo,"5,061","818,000",74,14,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,"7,9","3,4","7,5",Não atendido,"1,8",Não,Não,"4,958","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-123,B,Aluno-123,2006,16,Menino,2017,Rede Decisão,Ametista,"7,084","461,000",37,6,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,9","8,6","5,6",Requer avaliação,"6,5",Não,Não,"7,292","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-124,B,Aluno-124,2008,14,Menino,2016,Rede Decisão,Ametista,"7,388","365,000",29,4,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"7,9","7,8","5,0",Requer avaliação,"6,7",Não,Não,"7,167","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-125,B,Aluno-125,2007,15,Menina,2022,Escola Pública,Ametista,"7,619","266,000",21,2,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,8","8,5","7,5",Não atendido,"7,1",Sim,Não,"7,750","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-126,B,Aluno-126,2007,15,Menino,2018,Escola Pública,Ágata,"6,289","689,000",62,11,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,1","5,8","7,5",Não atendido,"4,4",Sim,Não,"7,417","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-127,B,Aluno-127,2008,14,Menina,2022,Escola Pública,Topázio,"8,283","63,000",7,1,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,5","8,7","7,5",Não atendido,"7,9",Sim,Não,"8,125","10,000",0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-128,B,Aluno-128,2007,15,Menino,2019,Escola Pública,Quartzo,"5,563","778,000",71,13,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"0,0","6,2","7,5",Não atendido,"5,6",Sim,Não,"6,167","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-129,B,Aluno-129,2007,15,Menino,2019,Escola Pública,Ágata,"6,926","516,000",42,7,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"6,7","6,4","7,5",Não atendido,"6,7",Sim,Não,"7,792","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-130,F,Aluno-130,2006,16,Menina,2018,Escola Pública,Quartzo,"5,624","772,000",69,14,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,3","4,7","5,0",Requer avaliação,"4,1",Não,Não,"6,500","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-131,F,Aluno-131,2007,15,Menina,2016,Escola Pública,Ametista,"7,174","440,000",35,7,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,8","9,0","5,6",Sem limitações,"5,6",Sim,Não,"7,750","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-132,F,Aluno-132,2008,14,Menina,2019,Rede Decisão,Topázio,"8,355","53,000",5,2,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,"10,0","8,8","5,6",Sem limitações,"7,7",Não,Sim,"8,458","10,000",0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-133,F,Aluno-133,2007,15,Menina,2016,Escola Pública,Ágata,"6,875","530,000",45,10,4,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,"7,9","7,1","7,5",Não atendido,"5,6",Não,Não,"7,625","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-134,F,Aluno-134,2007,15,Menina,2021,Escola Pública,Ágata,"6,607","623,000",56,12,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase,"8,8","6,8","7,5",Não atendido,"4,7",Sim,Não,"7,375","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-135,F,Aluno-135,2007,15,Menina,2019,Escola Pública,Ametista,"7,692","237,000",20,4,4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"8,3","7,8","5,6",Sem limitações,"8,6",Sim,Sim,"8,583","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-136,F,Aluno-136,2007,15,Menino,2019,Escola Pública,Ágata,"6,478","646,000",59,13,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"10,0","6,3","7,5",Não atendido,"4,6",Não,Não,"6,667","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-137,F,Aluno-137,2005,17,Menina,2016,Rede Decisão,Ametista,"7,056","468,000",38,9,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,"7,5","8,9","5,0",Requer avaliação,"7,3",Não,Não,"7,792","2,500",-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-138,F,Aluno-138,2007,15,Menino,2016,Escola Pública,Ágata,"6,738","573,000",53,11,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"9,6","8,0","5,6",Requer avaliação,"5,6",Sim,Não,"6,375","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-139,F,Aluno-139,2005,17,Menino,2019,Escola Pública,Quartzo,"3,738","858,000",75,15,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,"7,1","3,5","5,0",Requer avaliação,"1,4",Não,Não,"3,917","2,500",-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-140,F,Aluno-140,2008,14,Menina,2021,Escola Pública,Ametista,"7,407","358,000",28,6,4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,"7,9","7,6","6,9",Não atendido,"5,7",Sim,Não,"7,667","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-141,F,Aluno-141,2008,14,Menino,2017,Escola Pública,Ametista,"7,118","450,000",36,8,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"9,2","8,2","5,6",Requer avaliação,"5,7",Não,Não,"5,917","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-142,F,Aluno-142,2008,14,Menina,2021,Escola Pública,Ametista,"7,457","332,000",27,5,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"6,7","8,6","5,6",Requer avaliação,"6,3",Não,Não,"7,583","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-143,F,Aluno-143,2009,13,Menino,2019,Rede Decisão,Topázio,"8,638","24,000",3,1,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","9,9","5,6",Sem limitações,"7,9",Não,Sim,"9,500","10,000",1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-144,F,Aluno-144,2008,14,Menina,2017,Rede Decisão,Topázio,"8,181","89,000",9,3,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,5","9,3","5,0",Requer avaliação,"7,9",Não,Não,"8,292","10,000",0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-145,H,Aluno-145,2006,16,Menino,2017,Escola Pública,Quartzo,"5,846","746,000",68,7,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"0,0","6,3","8,1",Sem limitações,"5,2",Sim,Não,"7,250","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-146,H,Aluno-146,2007,15,Menina,2022,Escola Pública,Ametista,"7,947","156,000",15,1,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","9,2","7,5",Não atendido,"7,9",Sim,Não,"8,208","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-147,H,Aluno-147,2008,14,Menina,2022,Escola Pública,Ametista,"7,541","293,000",24,4,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,3","7,7","7,5",Não atendido,"6,1",Não,Não,"7,250","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-148,H,Aluno-148,2008,14,Menino,2022,Escola Pública,Ametista,"7,894","172,000",16,2,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"9,2","7,9","10,0",Sem limitações,"5,3",Sim,Não,"7,708","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-149,H,Aluno-149,2007,15,Menina,2022,Escola Pública,Ágata,"6,323","679,000",60,6,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,"9,2","6,5","7,5",Não atendido,"5,0",Não,Não,"6,125","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-150,H,Aluno-150,2006,16,Menina,2020,Escola Pública,Ágata,"6,962","498,000",41,5,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"9,6","6,3","6,9",Sem limitações,"6,9",Sim,Não,"7,333","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-151,H,Aluno-151,2006,16,Menina,2020,Escola Pública,Ametista,"7,563","289,000",23,3,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,8","7,5","6,9",Sem limitações,"8,3",Sim,Não,"7,958","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-152,L,Aluno-152,2006,16,Menina,2022,Escola Pública,Ágata,"6,712","586,000",54,13,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"8,3","7,0","7,5",Não atendido,"6,5",Não,Não,"6,292","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-153,L,Aluno-153,2008,14,Menina,2018,Rede Decisão,Ametista,"7,535","297,000",25,5,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,9","8,2","5,0",Requer avaliação,"6,6",Não,Não,"7,708","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-154,L,Aluno-154,2007,15,Menino,2017,Escola Pública,Ágata,"6,073","714,000",65,15,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","6,1","6,3",Sem limitações,"4,0",Sim,Não,"6,833","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-155,L,Aluno-155,2006,16,Menino,2022,Escola Pública,Ametista,"7,051","470,000",39,9,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,"10,0","8,3","7,5",Não atendido,"5,2",Sim,Não,"6,833","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-156,L,Aluno-156,2007,15,Menino,2018,Escola Pública,Ametista,"7,357","376,000",30,6,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"10,0","8,3","9,4",Sem limitações,"4,4",Sim,Não,"7,792","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-157,L,Aluno-157,2010,12,Menina,2018,Rede Decisão,Topázio,"8,317","59,000",6,1,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,5","10,0","6,3",Requer avaliação,"7,7",Não,Não,"8,292","10,000",1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-158,L,Aluno-158,2005,17,Menina,2017,Rede Decisão,Ametista,"7,302","392,000",32,7,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,9","9,8","5,6",Requer avaliação,"6,6",Não,Não,"8,125","2,500",-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-159,L,Aluno-159,2007,15,Menina,2021,Escola Pública,Ágata,"6,490","644,000",58,14,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,3","8,1","5,6",Requer avaliação,"4,7",Não,Não,"6,458","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-160,L,Aluno-160,2007,15,Menina,2021,Escola Pública,Ágata,"6,746","568,000",52,12,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,5","7,2","5,6",Requer avaliação,"5,3",Sim,Não,"8,250","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-161,L,Aluno-161,2011,11,Menina,2018,Rede Decisão,Ametista,"7,957","153,000",14,4,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,9","9,1","5,6",Requer avaliação,"6,9",Não,Não,"8,083","10,000",2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-162,L,Aluno-162,2008,14,Menina,2021,Escola Pública,Ametista,"7,215","423,000",34,8,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"6,7","8,5","7,5",Requer avaliação,"5,5",Não,Não,"6,542","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-163,L,Aluno-163,2007,15,Menina,2021,Escola Pública,Ágata,"6,797","556,000",49,10,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,8","7,9","5,6",Requer avaliação,"6,7",Não,Não,"6,500","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-164,L,Aluno-164,2006,16,Menino,2018,Escola Pública,Ágata,"6,776","562,000",50,11,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,"8,3","7,3","5,6",Requer avaliação,"6,5",Sim,Não,"7,208","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-165,L,Aluno-165,2008,14,Menina,2017,Rede Decisão,Topázio,"8,063","128,000",12,3,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"7,1","9,8","5,6",Sem limitações,"7,6",Não,Não,"7,500","10,000",0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-166,L,Aluno-166,2008,14,Menino,2020,Escola Pública,Topázio,"8,253","73,000",8,2,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"9,2","9,0","6,3",Sem limitações,"8,1",Sim,Não,"7,542","10,000",0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-167,P,Aluno-167,2006,16,Menina,2018,Rede Decisão,Ametista,"7,798","200,000",19,3,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"9,2","9,7","5,6",Requer avaliação,"7,9",Não,Não,"7,833","5,000",-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-168,P,Aluno-168,2007,15,Menina,2018,Rede Decisão,Ágata,"6,917","522,000",44,5,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"7,9","8,3","6,3",Sem limitações,"5,9",Não,Não,"7,083","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-169,P,Aluno-169,2007,15,Menina,2018,Escola Pública,Quartzo,"5,159","814,000",73,9,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"7,5","5,1","6,3",Sem limitações,"3,2",Não,Não,"4,792","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-170,P,Aluno-170,2008,14,Menina,2018,Rede Decisão,Ágata,"7,007","484,000",40,4,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,3","9,2","5,6",Requer avaliação,"4,9",Não,Não,"5,792","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-171,P,Aluno-171,2006,16,Menino,2022,Escola Pública,Ágata,"6,581","632,000",57,7,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"7,5","6,8","7,5",Sem limitações,"5,5",Não,Não,"6,875","5,000",-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-172,P,Aluno-172,2008,14,Menina,2018,Rede Decisão,Topázio,"8,673","18,000",1,1,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"9,2","8,9","9,4",Sem limitações,"7,3",Não,Sim,"8,917","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-173,P,Aluno-173,2005,17,Menino,2019,Rede Decisão,Ametista,"7,816","198,000",18,2,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","9,2","6,9",Requer avaliação,"7,9",Não,Sim,"9,250","2,500",-3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-174,P,Aluno-174,2007,15,Menina,2019,Escola Pública,Ágata,"6,075","713,000",64,8,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"7,9","6,2","7,5",Sem limitações,"4,4",Não,Não,"6,042","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-175,P,Aluno-175,2007,15,Menina,2018,Rede Decisão,Ágata,"6,750","567,000",51,6,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,3","9,2","5,6",Requer avaliação,"5,9",Não,Não,"5,833","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-176,A,Aluno-176,2009,13,Menina,2018,Rede Decisão,Topázio,"8,427","44,000",12,4,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,"9,6","9,1","5,6",Requer avaliação,"6,9",Não,Sim,"9,083","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-177,A,Aluno-177,2009,13,Menina,2022,Escola Pública,Ametista,"7,424","347,000",40,9,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,"7,9","8,8","4,4",Requer avaliação,"6,8",Não,Não,"6,958","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-178,A,Aluno-178,2009,13,Menina,2016,Rede Decisão,Ágata,"7,025","481,000",61,13,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,"0,0","8,8","4,4",Requer avaliação,"6,3",Não,Sim,"8,458","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
